,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
1976,61651,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/61651/2,2016-03-17,18:20:33.092000000,2016-03-18,14:00:22.047000000
1980,61712,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/61712/4,2016-03-18,14:22:26.578000000,2016-03-31,07:36:48.688000000
1984,61921,4,Rejected,Lucia Hendrix,http://review.couchbase.org/#/c/61921/4,2016-03-24,09:44:12.357000000,2016-03-30,10:31:15.802000000
1986,61924,2,DirectlyApprove,Sophia Gaines,http://review.couchbase.org/#/c/61924/2,2016-03-24,10:36:19.951000000,2016-03-24,10:44:21.442000000
1989,62119,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/62119/3,2016-03-29,14:55:36.063000000,2016-03-31,10:43:09.247000000
1991,62183,2,Rejected,Lucia Hendrix,http://review.couchbase.org/#/c/62183/2,2016-03-30,18:01:11.899000000,2016-08-24,12:19:04.468000000
1993,62239,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/62239/2,2016-03-31,13:57:25.551000000,2016-04-01,10:16:15.691000000
1995,62278,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/62278/2,2016-04-01,06:58:48.825000000,2016-04-01,07:41:02.163000000
1997,62293,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/62293/2,2016-04-01,14:26:59.038000000,2016-04-01,14:44:25.120000000
2005,62350,8,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/62350/8,2016-04-04,10:43:45.923000000,2016-04-04,17:28:30.425000000
2007,62357,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/62357/2,2016-04-04,13:37:35.515000000,2016-04-04,13:44:13.769000000
2009,62358,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/62358/2,2016-04-04,13:37:35.515000000,2016-04-04,13:55:44.059000000
2011,62359,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/62359/2,2016-04-04,13:42:26.864000000,2016-04-04,13:55:55.322000000
2013,62360,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/62360/2,2016-04-04,13:56:51.219000000,2016-04-04,13:57:12.481000000
2015,62442,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/62442/2,2016-04-05,14:54:43.864000000,2016-04-05,15:02:40.853000000
2018,62535,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/62535/3,2016-04-07,08:32:04.518000000,2016-04-07,08:37:27.715000000
2019,62538,1,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/62538/1,2016-04-07,09:25:26.291000000,2016-04-18,09:18:54.562000000
2044,62648,25,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/62648/25,2016-04-11,11:38:21.990000000,2016-05-13,09:19:16.962000000
2054,62772,10,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/62772/10,2016-04-13,16:00:05.823000000,2016-05-13,11:37:45.254000000
2056,62849,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/62849/2,2016-04-14,15:09:33.784000000,2016-04-14,15:10:58.399000000
2058,63526,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/63526/2,2016-04-29,08:37:29.992000000,2016-04-29,09:40:49.605000000
2060,63529,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/63529/2,2016-04-29,09:35:41.863000000,2016-04-29,09:40:24.212000000
2062,63530,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/63530/2,2016-04-29,09:47:33.840000000,2016-04-29,15:44:46.479000000
2064,63533,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/63533/2,2016-04-29,10:40:40.679000000,2016-04-29,15:44:54.141000000
2069,63621,5,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/63621/5,2016-05-03,09:56:40.652000000,2016-05-03,11:00:06.483000000
2072,63628,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/63628/3,2016-05-03,12:07:39.082000000,2016-05-03,12:32:27.957000000
2074,63785,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/63785/2,2016-05-06,08:16:53.999000000,2016-05-06,08:27:09.691000000
2076,63849,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/63849/2,2016-05-10,05:24:00.257000000,2016-05-10,07:50:52.670000000
2079,63851,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/63851/3,2016-05-10,05:57:52.972000000,2016-05-10,07:51:03.957000000
2081,63854,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/63854/2,2016-05-10,06:51:55.363000000,2016-05-10,07:51:17.120000000
2083,63860,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/63860/2,2016-05-10,09:50:51.016000000,2016-05-10,10:24:18.993000000
2084,63925,1,Rejected,Alondra Arellano,http://review.couchbase.org/#/c/63925/1,2016-05-11,09:25:45.707000000,2016-05-12,13:19:28.848000000
2086,63971,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/63971/2,2016-05-12,12:47:09.705000000,2016-05-12,15:30:42.651000000
2088,63972,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/63972/2,2016-05-12,12:50:59.612000000,2016-05-12,15:30:12.619000000
2090,63974,2,DirectlyApprove,Alondra Arellano,http://review.couchbase.org/#/c/63974/2,2016-05-12,13:18:46.142000000,2016-05-12,15:32:53.006000000
2091,64062,1,Rejected,Preston Cowan,http://review.couchbase.org/#/c/64062/1,2016-05-14,23:12:19.818000000,2016-05-17,09:04:19.867000000
2094,64210,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/64210/3,2016-05-19,11:59:02.282000000,2016-05-19,12:20:50.602000000
